Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees East]	Latitude [degrees North]	Depth [m]	POC Flux [mol/m~^2/yr]
DBI1niA	1	B	1996-01-01T00:00	185.0000	-77.0000	0.000	
DBI1niA	1	B	1996-01-01T00:00	185.0000	-77.0000	61.000	
DBI1niA	1	B	1996-01-01T00:00	185.0000	-77.0000	133.000	-0.04037
DBI1niA	1	B	1996-01-01T00:00	185.0000	-77.0000	219.000	-0.02251
DBI1niA	1	B	1996-01-01T00:00	185.0000	-77.0000	320.000	-0.01444
DBI1niA	1	B	1996-01-01T00:00	185.0000	-77.0000	436.000	-0.01006
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	0.000	
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	61.000	
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	133.000	-0.04365
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	219.000	-0.02440
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	320.000	-0.01568
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	436.000	-0.01093
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	568.000	-0.00803
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	719.000	-0.00610
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	888.000	-0.00477
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	1078.000	-0.00380
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	1289.000	-0.00309
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	1522.000	-0.00254
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	1779.000	-0.00212
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	2060.000	-0.00179
DBI1niA	2	B	1996-01-01T00:00	185.0000	-75.0000	2368.000	-0.00152
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	0.000	
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	61.000	
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	133.000	-0.01762
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	219.000	-0.00980
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	320.000	-0.00627
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	436.000	-0.00436
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	568.000	-0.00320
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	719.000	-0.00242
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	888.000	-0.00189
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	1078.000	-0.00150
DBI1niA	3	B	1996-01-01T00:00	195.0000	-77.0000	1289.000	-0.00122
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	0.000	
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	61.000	
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	133.000	-0.02608
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	219.000	-0.01454
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	320.000	-0.00932
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	436.000	-0.00649
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	568.000	-0.00476
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	719.000	-0.00361
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	888.000	-0.00282
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	1078.000	-0.00224
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	1289.000	-0.00182
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	1522.000	-0.00150
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	1779.000	-0.00125
DBI1niA	4	B	1996-01-01T00:00	195.0000	-75.0000	2060.000	-0.00105
